exp_name,prompt_type,llm,input_source,layer,question_type,question_id,bloom_original
exp2a,,anthropic,,2,multiple_choice,2,
exp2a,,anthropic,,2,multiple_choice,6,
exp2a,,anthropic,,2,open_ended,5,
exp2a,,anthropic,,2,open_ended,6,
exp2a,,deepseek,,2,multiple_choice,4,
exp2a,,deepseek,,2,multiple_choice,5,
exp2a,,deepseek,,2,open_ended,4,
exp2a,,deepseek,,2,open_ended,6,
exp2a,,google,,2,multiple_choice,4,
exp2a,,google,,2,multiple_choice,6,
exp2a,,google,,2,open_ended,1,
exp2a,,google,,2,open_ended,3,
exp2a,,openai,,2,multiple_choice,3,
exp2a,,openai,,2,multiple_choice,4,
exp2a,,openai,,2,open_ended,1,
exp2a,,openai,,2,open_ended,2,
