exp_name,prompt_type,llm,input_source,layer,question_type,question_id,bloom_original
exp2c,,anthropic,,2,multiple_choice,,1
exp2c,,anthropic,,2,multiple_choice,,3
exp2c,,anthropic,,2,open_ended,,1
exp2c,,anthropic,,2,open_ended,,4
exp2c,,deepseek,,2,multiple_choice,,1
exp2c,,deepseek,,2,multiple_choice,,2
exp2c,,deepseek,,2,open_ended,,1
exp2c,,deepseek,,2,open_ended,,6
exp2c,,google,,2,multiple_choice,,3
exp2c,,google,,2,multiple_choice,,4
exp2c,,google,,2,open_ended,,1
exp2c,,google,,2,open_ended,,4
exp2c,,openai,,2,multiple_choice,,1
exp2c,,openai,,2,multiple_choice,,6
exp2c,,openai,,2,open_ended,,3
exp2c,,openai,,2,open_ended,,4
