exp_name,prompt_type,llm,input_source,layer,question_type,question_id,bloom_original
exp1b,common,anthropic,script,2,,,
exp1b,common,anthropic,script,3,,,
exp1b,complex,anthropic,script,4,,,
exp1b,complex,anthropic,script,5,,,
exp1b,common,deepseek,script,5,,,
exp1b,common,deepseek,script,6,,,
exp1b,complex,deepseek,script,3,,,
exp1b,complex,deepseek,script,7,,,
exp1b,common,google,script,4,,,
exp1b,common,google,script,6,,,
exp1b,complex,google,script,4,,,
exp1b,complex,google,script,5,,,
exp1b,common,openai,script,2,,,
exp1b,common,openai,script,5,,,
exp1b,complex,openai,script,5,,,
exp1b,complex,openai,script,6,,,
