llm,input_source,layer,prompt_type,cosine_similarity,adherence_score_openai,adherence_score_anthropic
anthropic,no_source,1,complex_no_source,0.5146509408950806,0.45,0.6
anthropic,no_source,2,complex_no_source,0.5489319562911987,0.9,0.7
anthropic,no_source,3,complex_no_source,0.5322726368904114,0.85,0.6
anthropic,no_source,4,complex_no_source,0.44672691822052,0.85,0.65
anthropic,no_source,5,complex_no_source,0.5832359790802002,0.97,0.7
anthropic,no_source,6,complex_no_source,0.505487859249115,0.88,0.5
anthropic,no_source,7,complex_no_source,0.7063681483268738,0.3,0.4
deepseek,no_source,1,complex_no_source,0.4367586076259613,0.9,0.85
deepseek,no_source,2,complex_no_source,0.4267432987689972,0.88,0.7
deepseek,no_source,3,complex_no_source,0.599452793598175,0.5,0.4
deepseek,no_source,4,complex_no_source,0.4496232867240906,0.85,0.6
deepseek,no_source,5,complex_no_source,0.29593223333358765,0.05,0.0
deepseek,no_source,6,complex_no_source,0.46040236949920654,1.0,0.85
deepseek,no_source,7,complex_no_source,0.6702791452407837,0.64,0.5
google,no_source,1,complex_no_source,0.42781195044517517,0.92,0.85
google,no_source,2,complex_no_source,0.7319840788841248,0.92,0.9
google,no_source,3,complex_no_source,0.6112579703330994,0.88,0.75
google,no_source,4,complex_no_source,0.37572744488716125,0.97,0.65
google,no_source,5,complex_no_source,0.5556673407554626,0.95,0.85
google,no_source,6,complex_no_source,0.6627061367034912,0.98,1.0
google,no_source,7,complex_no_source,0.5842350721359253,0.93,0.85
openai,no_source,1,complex_no_source,0.3913939595222473,0.85,0.85
openai,no_source,2,complex_no_source,0.54533451795578,0.65,0.6
openai,no_source,3,complex_no_source,0.6023841500282288,0.88,0.85
openai,no_source,4,complex_no_source,0.5779832005500793,0.96,0.65
openai,no_source,5,complex_no_source,0.47399088740348816,0.75,0.5
openai,no_source,6,complex_no_source,0.6467113494873047,1.0,0.95
openai,no_source,7,complex_no_source,0.5923390984535217,0.93,0.9
